Using GPU available:  NVIDIA GeForce RTX 3090
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at bert-base-uncased and are newly initialized: ['classifier.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
############################ bert-base-uncased text results ##################################
Epoch 1/3
Train Batch 1/588
Train Batch 2/588
Train Batch 3/588
Train Batch 4/588
Train Batch 5/588
Train Batch 6/588
Train Batch 7/588
Train Batch 8/588
Train Batch 9/588
Train Batch 10/588
Train Batch 11/588
Train Batch 12/588
Train Batch 13/588
Train Batch 14/588
Train Batch 15/588
Train Batch 16/588
Train Batch 17/588
Train Batch 18/588
Train Batch 19/588
Train Batch 20/588
Train Batch 21/588
Train Batch 22/588
Train Batch 23/588
Train Batch 24/588
Train Batch 25/588
Train Batch 26/588
Train Batch 27/588
Train Batch 28/588
Train Batch 29/588
Train Batch 30/588
Train Batch 31/588
Train Batch 32/588
Train Batch 33/588
Train Batch 34/588
Train Batch 35/588
Train Batch 36/588
Train Batch 37/588
Train Batch 38/588
Train Batch 39/588
Train Batch 40/588
Train Batch 41/588
Train Batch 42/588
Train Batch 43/588
Train Batch 44/588
Train Batch 45/588
Train Batch 46/588
Train Batch 47/588
Train Batch 48/588
Train Batch 49/588
Train Batch 50/588
Train Batch 51/588
Train Batch 52/588
Train Batch 53/588
Train Batch 54/588
Train Batch 55/588
Train Batch 56/588
Train Batch 57/588
Train Batch 58/588
Train Batch 59/588
Train Batch 60/588
Train Batch 61/588
Train Batch 62/588
Train Batch 63/588
Train Batch 64/588
Train Batch 65/588
Train Batch 66/588
Train Batch 67/588
Train Batch 68/588
Train Batch 69/588
Train Batch 70/588
Train Batch 71/588
Train Batch 72/588
Train Batch 73/588
Train Batch 74/588
Train Batch 75/588
Train Batch 76/588
Train Batch 77/588
Train Batch 78/588
Train Batch 79/588
Train Batch 80/588
Train Batch 81/588
Train Batch 82/588
Train Batch 83/588
Train Batch 84/588
Train Batch 85/588
Train Batch 86/588
Train Batch 87/588
Train Batch 88/588
Train Batch 89/588
Train Batch 90/588
Train Batch 91/588
Train Batch 92/588
Train Batch 93/588
Train Batch 94/588
Train Batch 95/588
Train Batch 96/588
Train Batch 97/588
Train Batch 98/588
Train Batch 99/588
Train Batch 100/588
Train Batch 101/588
Train Batch 102/588
Train Batch 103/588
Train Batch 104/588
Train Batch 105/588
Train Batch 106/588
Train Batch 107/588
Train Batch 108/588
Train Batch 109/588
Train Batch 110/588
Train Batch 111/588
Train Batch 112/588
Train Batch 113/588
Train Batch 114/588
Train Batch 115/588
Train Batch 116/588
Train Batch 117/588
Train Batch 118/588
Train Batch 119/588
Train Batch 120/588
Train Batch 121/588
Train Batch 122/588
Train Batch 123/588
Train Batch 124/588
Train Batch 125/588
Train Batch 126/588
Train Batch 127/588
Train Batch 128/588
Train Batch 129/588
Train Batch 130/588
Train Batch 131/588
